id,audio_harmonic,audio_engergy,audio_centroid,audio_contrast_low,audio_contrast_middle,audio_contrast_high,audio_zero_crossing_rate,audio_slience_rate
ACCEDE09585,0.011976891644356771,0.002940311562269926,1068.7104078954276,13.265534198849855,11.339048332691014,41.90015560310941,0.1234600360576923,0.9777777777777777
ACCEDE02064,0.010844447129544322,0.04865240678191185,1687.9661739275105,18.116328165594645,12.230002383856428,35.05086228132771,0.19982768762065636,0.45
ACCEDE07025,0.01216879594988054,0.05974596366286278,1264.0365457744495,19.45409733601202,15.260297288031436,40.596941060490394,0.13997970281862746,0.0
ACCEDE04830,0.010829149343814133,0.0015372521011158824,1567.1959943052511,18.791622359620565,11.309485019467234,36.004266059027046,0.18414070070251937,0.9915966386554622
ACCEDE04183,0.011938202247191011,0.0557069331407547,1297.0412472331093,18.536481919823164,14.636609660990668,37.87348063132266,0.1618008700284091,0.30392156862745096
ACCEDE07077,0.013090585581291902,0.26509398221969604,1436.7454501840261,20.078934497555807,15.242343430099558,37.65824163204195,0.15220122466216215,0.0
ACCEDE09504,0.013437348704223036,0.019559182226657867,776.5330597434514,17.7598125592027,14.677966785723788,43.3143713519485,0.062278676255841124,0.7070707070707071
ACCEDE00215,0.011373993619930124,0.04853975400328636,1457.7899259162837,12.373598011336814,16.505177820523443,37.726819732114656,0.16989343143203883,0.4
ACCEDE03677,0.012577958624885914,0.07290623337030411,1019.3217151346938,25.302260930011165,15.574822405565817,48.110906057475475,0.1263795130461165,0.010526315789473684
ACCEDE08964,0.012812929323767364,0.030939491465687752,871.0039861959436,18.779229365670137,14.485232089026919,49.63579387603155,0.1151343368902439,0.4421052631578947
ACCEDE00191,0.012938635161347205,0.0640997514128685,1307.1590643567868,17.953801328551215,15.57992531613678,40.03761158011165,0.13539380705758428,0.0
ACCEDE08046,0.013254170673579462,0.019979143515229225,1868.1353890609269,19.403305755489054,12.150628809217903,34.54474369732695,0.2422584468482906,0.6944444444444444
ACCEDE00465,0.01320091143253418,0.088919997215271,1425.6848730325805,17.580632554765817,13.541973443545615,34.76111960006567,0.16045086695675106,0.0
ACCEDE03470,0.014126008145013176,0.04015742242336273,890.1532864968267,18.314777678134202,16.123623169782388,45.545409450778244,0.08898078762755102,0.24778761061946902
ACCEDE00168,0.012589544601739723,0.05678551271557808,1283.050505575927,13.100843461284251,16.3642635435202,41.16406440538059,0.15373429008152173,0.4117647058823529
ACCEDE02609,0.010668903258389473,0.012429758906364441,1417.393296748968,15.153528595692704,10.60601110986224,38.031462792053645,0.1616863479262673,0.93
ACCEDE05148,0.011811228021597673,0.008842267096042633,1222.3199950282344,16.871490607048145,12.543225921679628,37.16610371253722,0.13354060080199115,0.8461538461538461
ACCEDE03346,0.011049893495002457,0.026876363903284073,1875.4852418999212,18.6536738592588,12.417135547106376,30.169250453770154,0.21985182837041886,0.4431818181818182
ACCEDE09593,0.01410787594929508,0.03601536154747009,834.6176362406305,19.384117248867966,15.763977746238114,48.969498155250896,0.08525815217391304,0.05263157894736842
ACCEDE07807,0.011237430586822753,0.05477068945765495,882.0698716811529,16.560643799347044,14.814157972065736,37.4114447126141,0.06486430921052631,0.09375
ACCEDE00756,0.012657165634047077,0.016474243253469467,1957.8435739600686,22.004134740921565,13.900599470701813,34.60910770844867,0.2464320591517857,0.8125
ACCEDE09136,0.012291629721581841,0.092188261449337,428.1268300106152,21.25955860785837,14.329479481437929,43.11994708641115,0.026447188382768362,0.0
ACCEDE08164,0.012642085852423372,0.005812049377709627,856.6032850382101,21.41508484987865,15.440935971719693,42.062206468592535,0.06818515258215962,0.9897959183673469
ACCEDE08300,0.011777527773871466,0.02401820570230484,1456.235904712798,14.364602814650988,12.620206370254797,59.82809955053381,0.19810862177690583,0.5922330097087378
ACCEDE04321,0.013476602762317049,0.2282431423664093,1112.8438241111974,22.04027208956226,17.603753013029536,46.60391602629395,0.13420238829495615,0.0
ACCEDE08801,0.011582670203359858,0.013630468398332596,1598.5029144415253,18.86735805497896,13.569824954195626,39.719238713560514,0.20929334392655366,0.8658536585365854
ACCEDE01738,0.01282366941606139,0.053777676075696945,1427.664139182391,16.721736428272916,13.754501163393341,40.62924602058655,0.17149920238874344,0.14772727272727273
ACCEDE01156,0.011907808159087586,0.16823114454746246,1332.2042354207174,23.258274734986326,13.10209633678642,40.58143274206585,0.15095876533294392,0.0
ACCEDE03029,0.011238885864634368,0.03128807619214058,1808.0700091204258,17.88067532035995,12.459803123699665,31.276795129373042,0.21179834266618497,0.4125
ACCEDE01010,0.010565949622019205,0.006522633600980043,1513.6477154550407,12.187407087864504,12.432742690166155,36.16055985688091,0.18190784359452736,0.9247311827956989
ACCEDE06835,0.011877671583719291,0.022159243002533913,1231.393818964732,12.990453770027484,11.940939500241061,39.84941300273204,0.12782935573630136,0.6336633663366337
ACCEDE06916,0.013611495949922638,0.0358225554227829,1382.6533268807977,13.226679679373397,13.399896410873762,42.639452978265396,0.16372775048324742,0.3595505617977528
ACCEDE06490,0.012690887732841081,0.025511162355542183,1343.6411583850247,20.65450712284198,17.540752724845184,38.01026480292029,0.12208336814839572,0.7906976744186046
ACCEDE00486,0.011823346359820524,0.005075204186141491,1250.6000057057925,17.937173368348596,12.865712350292117,38.83302138524281,0.12994836877893517,0.99
ACCEDE01338,0.012554489973844812,0.02712150104343891,1215.9717339619597,14.85041466404047,15.286424996796116,40.32451030340166,0.14007975260416666,0.5301204819277109
