id,optical_flow_mean,optical_flow_std,video_warmc,video_heavyl,video_activep,video_hards,video_darkProportion,video_lightPropertion,video_saturation,video_color_energy,video_color_std
ACCEDE09585,0.001875527901574969,0.17986781895160675,-0.2864738876314513,3.6064330917874408,1.5670370772800488,-3.994732043327295,0.3942874396135265,0.3020434782608695,114.82368599033819,9.450502187076252,22267100.47344769
ACCEDE02064,0.022874196991324425,0.8661044239997864,-0.391198128964762,3.878802314814813,1.7937111292760173,-4.0663865095124425,0.2972783564814815,0.2702552083333333,47.397585648148144,4.297490610929708,31306525.35127717
ACCEDE07025,0.2430107742547989,3.6009845733642583,-0.3433811132043907,2.6544132185571,2.0757993810146806,-3.0388820130148058,0.5359572723765432,0.130390625,78.01198784722223,3.9212840582984563,30440865.84530304
ACCEDE04830,0.005206060595810413,0.2738003134727478,-0.27796826380803114,2.881863516348381,2.2740864163621373,-3.7234764876189055,0.3116916232638889,0.19776114004629625,126.6568621600116,21.779220064140524,4775896.743045839
ACCEDE04183,0.00030020900885574514,0.06815747916698456,-0.4389593565951269,2.5261951121794866,1.465748624593916,1.5729433101295396,0.9444631410256412,0.005349893162393162,102.63235042735045,3.0873963802109246,2719568.217657589
ACCEDE07077,1.2068321704864502,1.7038557529449463,-0.2909453954081753,5.193196656525888,1.6922189798809688,-4.418945583883867,0.2290607850155095,0.2492652907022985,105.25388978366341,3.9025086288889237,135975452.69758204
ACCEDE09504,9.890102228382602e-05,0.08534146100282669,-0.348764442822866,2.6034183333333334,1.9135288117101832,-3.4770878229166664,0.6766666666666667,0.07238,101.97559555555556,3.743582540732169,14553335.34729394
ACCEDE00215,0.003918030299246311,0.3857218623161316,-0.2550516273699629,3.4111761775362317,2.5060750169172983,-4.066177749471618,0.16235507246376812,0.32061292270531394,142.5261654589372,3.7724133829766155,54221641.04707497
ACCEDE03677,1.7145830497611317e-05,0.015536281280219557,-0.3661517074551761,3.4539823369565217,1.5864004280790391,-0.9251965947690222,0.5986231884057972,0.09524456521739133,68.74715579710146,2.223352316810874,237966623.56120583
ACCEDE08964,0.07304814457893373,0.8016754388809204,-0.3511366697014076,2.191239342730978,2.270571736318165,-1.6394335470448371,0.5419845448369566,0.018505434782608698,58.20723675271739,3.556225516833398,28662311.79099213
ACCEDE00191,0.03053792752325535,0.638512372970581,-0.29198109110907305,4.187097395833334,2.274685221714169,-4.372187229817709,0.1463159722222222,0.5986840277777777,126.96274652777781,3.541257756702655,72796422.04961659
ACCEDE08046,1.0103115528181661e-05,0.007188282907009125,-0.2761900018349021,1.0817677556818186,2.4403731733772434,-2.634995046164773,0.3715625,0.11497395833333332,99.61531960227272,4.630164117063399,13573338.835048407
